Audio: 000981_jfk-space-race-speech-59951.mp3
Language: English
Total words: 1697

================================================================================

   0.16s -    3.12s: President
   3.12s -    3.44s: Mr
   4.80s -    4.96s: Vice
   4.96s -    5.44s: President
   6.64s -    7.04s: Governor
   8.80s -    9.20s: Congressman
   9.20s -    9.60s: Thomas
  10.88s -   11.04s: Senator
  11.04s -   11.60s: Wiley
  11.68s -   12.16s: Congressman
  12.16s -   12.48s: Miller
  13.44s -   13.68s: Mr
  13.68s -   14.08s: Webb
  14.96s -   15.36s: Bell
  16.72s -   17.12s: Scientists
  18.00s -   18.00s: distinguished
  18.40s -   18.80s: guests
  18.80s -   19.20s: ladies
  19.20s -   19.20s: and
  19.20s -   19.52s: gentlemen
  20.56s -   20.64s: I
  20.64s -   21.28s: appreciate
  21.28s -   21.44s: your
  21.92s -   22.40s: President
  23.28s -   23.60s: having
  23.60s -   23.84s: made
  23.84s -   24.00s: me
  24.00s -   24.08s: in
  24.08s -   24.32s: honor
  24.32s -   24.56s: very
  24.56s -   24.96s: visiting
  24.96s -   25.52s: Professor
  26.08s -   26.16s: and
  26.16s -   26.32s: I
  26.32s -   26.56s: will
  26.56s -   26.88s: assure
  26.88s -   27.20s: you
  27.76s -   27.92s: that
  27.92s -   28.08s: my
  28.08s -   28.40s: first
  28.40s -   28.80s: lecture
  28.80s -   28.88s: will
  28.88s -   29.20s: be
  29.28s -   29.52s: very
  29.52s -   29.76s: brief
  30.72s -   30.96s: I
  30.96s -   31.04s: am
  31.04s -   31.36s: delighted
  31.44s -   31.44s: to
  31.44s -   31.68s: be
  31.68s -   31.92s: here
  32.64s -   32.80s: and
  32.80s -   32.88s: I
  32.88s -   32.96s: am
  32.96s -   33.44s: particularly
  33.44s -   33.84s: delighted
  33.84s -   33.84s: to
  33.84s -   34.08s: be
  34.08s -   34.24s: here
  34.32s -   34.40s: on
  34.40s -   34.56s: this
  34.56s -   34.96s: occasion
  36.08s -   36.32s: We
  36.32s -   36.64s: meet
  36.64s -   36.72s: at
  36.72s -   36.88s: a
  36.88s -   37.44s: college
  38.72s -   39.12s: noted
  39.12s -   39.20s: for
  39.20s -   39.68s: knowledge
  40.72s -   40.88s: in
  40.88s -   40.96s: a
  40.96s -   41.36s: city
  41.36s -   41.68s: noted
  41.68s -   41.76s: for
  41.76s -   42.24s: progress
  43.20s -   43.36s: in
  43.36s -   43.44s: a
  43.44s -   43.84s: state
  43.84s -   44.08s: noted
  44.08s -   44.16s: for
  44.16s -   44.56s: strength
  45.36s -   45.60s: and
  45.60s -   45.84s: we
  45.84s -   46.24s: stand
  46.24s -   46.40s: in
  46.40s -   46.64s: need
  46.64s -   46.72s: of
  46.72s -   46.96s: all
  46.96s -   47.36s: three
  48.64s -   48.80s: For
  48.80s -   48.96s: we
  48.96s -   49.36s: meet
  49.36s -   49.44s: in
  49.44s -   49.60s: an
  49.60s -   49.92s: hour
  49.92s -   50.08s: of
  50.08s -   50.64s: change
  50.88s -   51.04s: and
  51.04s -   51.44s: challenge
  52.64s -   52.72s: in
  52.72s -   52.88s: a
  52.88s -   53.44s: decade
  53.44s -   53.52s: of
  53.52s -   53.76s: hope
  54.00s -   54.16s: and
  54.24s -   54.48s: fear
  55.52s -   55.60s: in
  55.60s -   55.68s: an
  55.68s -   56.00s: age
  56.00s -   56.16s: of
  56.16s -   56.40s: both
  56.40s -   56.80s: knowledge
  57.28s -   57.36s: and
  57.36s -   57.76s: ignorance
  58.80s -   58.88s: The
  58.88s -   59.28s: greater
  59.28s -   59.52s: our
  59.52s -   59.92s: knowledge
  59.92s -   60.48s: increases
  61.36s -   61.44s: the
  61.44s -   61.84s: greater
  61.92s -   62.00s: our
  62.08s -   62.48s: ignorance
  62.64s -   63.20s: unfolds
  64.40s -   64.80s: Despite
  64.80s -   64.88s: the
  64.88s -   65.36s: striking
  65.36s -   65.76s: fact
  66.80s -   66.88s: that
  66.88s -   67.28s: most
  67.28s -   67.36s: of
  67.36s -   67.44s: the
  67.44s -   68.16s: scientists
  68.16s -   68.32s: of
  68.32s -   68.40s: the
  68.40s -   68.88s: world
  68.88s -   69.04s: has
  69.04s -   69.20s: ever
  69.20s -   69.60s: known
  70.32s -   70.56s: are
  70.56s -   71.04s: alive
  71.68s -   71.84s: and
  71.84s -   72.16s: working
  72.16s -   72.56s: today
  73.68s -   74.08s: despite
  74.08s -   74.16s: the
  74.16s -   74.64s: fact
  74.64s -   74.80s: that
  74.80s -   75.04s: this
  75.04s -   75.60s: nation's
  75.68s -   76.16s: own
  76.24s -   76.88s: scientific
  76.96s -   77.60s: manpower
  78.32s -   78.48s: is
  78.56s -   79.12s: doubling
  79.12s -   79.36s: every
  79.36s -   79.76s: 12
  79.76s -   80.16s: years
  81.12s -   81.28s: in
  81.28s -   81.44s: a
  81.44s -   81.60s: rate
  81.60s -   81.76s: of
  81.76s -   82.08s: growth
  83.12s -   83.36s: more
  83.36s -   83.52s: than
  83.52s -   83.76s: three
  83.76s -   84.24s: times
  84.24s -   84.64s: that
  85.12s -   85.28s: of
  85.28s -   85.36s: our
  85.36s -   86.08s: population
  86.08s -   86.16s: as
  86.16s -   86.24s: a
  86.24s -   86.56s: whole
